Act_id,Focus area,associated Skill 1,associated Skill 2,associated skill 3,associated skill 4,1,2,3,4,5,6,7,8,9,10,11,12
252,Creativity,critical thinking,concentration,None,None,None,None,None,None,None,Y,Y,Y,None,None,None
253,Logical and Lateral,concentration,fine motor skills,None,None,None,None,None,None,Y,Y,Y,None,None,None,None
254,Cognitive,critical thinking,creativity,fun science,None,None,None,None,None,Y,Y,Y,None,None,None,None
255,Logical and Lateral,critical thinking,curiosity,love for learning,problem solving,None,None,None,None,Y,Y,Y,None,None,None,None
256,Creativity,problem solving,creativity,aerodynamics,fun science,None,None,None,None,Y,Y,Y,None,None,None,None
257,Logical and Lateral,creativity,critical thinking,Patience,confidence,None,None,None,None,Y,Y,Y,None,None,None,None
258,Creativity,imagination,None,None,None,None,None,None,None,Y,Y,Y,None,None,None,None
259,Logical and Lateral,problem solving,creativity,confidence,None,None,None,None,None,Y,Y,Y,None,None,None,None
260,Logical and Lateral,Observation skills,Critical Thinking,None,None,None,None,None,None,Y,Y,Y,None,None,None,None
261,Logical and Lateral,Critical Thinking,Motor Skills,Observation skills,None,None,None,None,None,None,Y,Y,None,None,None,None
262,Concentration,Critical Thinking,Motor Skills,Problem Solving,None,None,None,None,Y,Y,Y,None,None,None,None,None
263,Problem Solving,Critical thinking,Problem Solving,Concentration,focus,None,None,None,None,Y,Y,Y,None,None,None,None
264,Problem Solving,concentration,fine motor skills,patience,None,None,None,None,None,Y,Y,Y,None,None,None,None
265,Concentration,critical thinking,creativity,None,None,None,None,None,None,None,Y,Y,None,None,None,None
266,Logical and lateral,Critical Thinking,Observation Skills,Cognitive Development,None,None,None,None,None,None,Y,Y,None,None,None,None
267,Logical and lateral,Critical Thinking,Observation Skills,Cognitive Development,None,None,None,None,None,None,Y,Y,None,None,None,None
268,Creativity,fine motor skills,critical thinking,patience,None,None,None,None,None,None,Y,Y,None,None,None,None
269,None,Problem Solving,Naturalistic Intelligence,Persistence,Leadership,None,None,None,None,None,None,Y,Y,None,None,None,None
270,None,Perspective,Love of Learning,Critical Thinking,None,None,None,None,None,None,None,Y,Y,None,None,None,None
